Locus Pairwise estimates

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984

gst

Loci	pop1,  vs  pop2,	pop1,  vs  pop3,	pop1,  vs  pop4,	pop1,  vs  pop5,	pop1,  vs  pop6,	pop2,  vs  pop3,	pop2,  vs  pop4,	pop2,  vs  pop5,	pop2,  vs  pop6,	pop3,  vs  pop4,	pop3,  vs  pop5,	pop3,  vs  pop6,	pop4,  vs  pop5,	pop4,  vs  pop6,	pop5,  vs  pop6,
Locus10	0.0168	0.1246	0.0622	0.1396	0.1371	0.0484	0.0182	0.0757	0.0674	0.021	0.0475	0.0119	0.0404	0.0227	0.0194
Locus11	0.001	0.0075	0.0062	0.0325	0.01	-0.0013	0.0069	0.037	1e-04	-0.0055	0.0103	-0.0022	0.0166	-5e-04	0.0417
Locus12	-0.0012	0.0431	0.0419	0.0515	0.0317	0.0364	0.0333	0.0531	0.0266	0.0046	0.0644	0.0592	0.0685	0.0591	0.0426
Locus13	-0.0075	0.256	0.2499	0.2342	0.2438	0.215	0.2105	0.1935	0.2062	-0.006	0.0758	0.0039	0.0885	0.0249	0.0628
Locus14	-4e-04	0.038	0.0328	0.0657	0.0386	0.0266	0.0244	0.071	0.0381	-3e-04	0.0355	0.0055	0.0422	0.0057	0.0273
Locus15	0.0027	-0.0037	0.0425	0.1456	0.068	-0.0099	0.021	0.1511	0.0193	0.0308	0.1697	0.0343	0.0717	0.0132	0.1533
Locus16	0.0172	0.1509	0.1539	0.2055	0.1267	0.1142	0.1054	0.1198	0.0814	0.0075	0.1435	0.0484	0.1019	0.0304	0.0589
Locus17	-0.0035	0.0122	0.0094	0.0286	0.0838	0.0159	0.0046	0.0324	0.1016	0.0027	0.0165	0.029	0.0163	0.0755	0.0773
Locus18	-0.0039	0.0382	0.0217	0.0415	0.0081	0.034	0.0168	0.0386	0.0068	0.0037	0.0732	0.0302	0.0442	0.0137	0.0228
Locus19	-3e-04	0.0309	0.029	0.0483	0.0299	0.0599	0.0556	0.0627	0.0472	0.002	0.0413	0.0293	0.0392	0.037	0.016
Locus20	-0.0016	0.0527	0.0486	0.0655	0.0421	0.044	0.0438	0.0542	0.0425	-0.0018	0.0184	0.013	0.0165	0.0138	0.0413
Locus21	0.0035	0.025	0.0123	0.0595	0.0829	0.0608	0.0193	0.0399	0.0714	0.0113	0.0525	0.0549	0.0218	0.0607	0.0252
Locus22	-0.0047	0.0137	0.0198	0.0782	0.0254	0.0207	0.0261	0.065	0.022	0.0013	0.0502	0.0048	0.0616	0.0097	0.0282
Locus23	0.0016	0.1265	0.1636	0.1766	0.1772	0.0732	0.1064	0.16	0.1244	0.0139	0.1371	0.0182	0.194	0.0688	0.0924
Locus24	-0.0018	0.1382	0.1127	0.1623	0.0451	0.1146	0.0841	0.124	0.0267	0.0041	0.0031	0.0279	1e-04	0.0132	0.0388
Locus25	0.0042	0.1265	0.156	0.2381	0.075	0.0697	0.0858	0.169	0.0246	0.0105	0.0321	0.0326	0.0484	0.0244	0.0828
Locus26	0.0049	0.0839	0.0418	0.0075	0.1562	0.0705	0.034	0.0277	0.1707	-0.0033	0.037	0.027	0.0101	0.047	0.0777
Locus27	-0.0026	0.0543	0.0456	0.0569	0.0435	0.037	0.0325	0.0447	0.0362	-7e-04	0.026	0.0169	0.0304	0.0093	0.0334
Locus28	0.0102	0.1475	0.048	0.1866	-0.0079	0.0572	-0.0019	0.0867	-0.0081	0.0184	-0.0113	0.0974	0.0394	0.0168	0.1324
Locus29	0.0053	0.0435	0.0158	0.0356	0.0221	0.0694	0.0288	0.017	0.0363	0.0107	0.0724	0.027	0.0301	-6e-04	0.0289
Locus30	-0.007	0.0681	0.0487	0.0753	0.0411	0.0448	0.0287	0.0656	0.0341	-0.0038	0.044	0.0186	0.0311	0.0175	0.0432
Locus31	0.0087	0.0385	0.0259	0.0757	0.0544	0.0274	0.018	0.0777	0.0438	-0.0021	0.0511	0.0209	0.0491	0.0314	0.0428
Locus32	0.0076	0.0171	0.0115	0.0486	0.0179	0.0226	0.0222	0.05	0.0281	0.0017	0.0498	0.0217	0.0484	0.0208	0.0473
Locus33	0.0087	0.0162	0.0115	0.0466	0.0053	0.0364	0.0308	0.0288	0.0314	0.0086	0.064	0.0185	0.0668	0.011	0.0621
Locus34	-0.0112	0.1415	0.132	0.1543	0.0951	0.1698	0.1621	0.1911	0.1253	-0.0069	0.0911	0.0095	0.0702	0.0132	0.0508
Locus35	0.0122	0.0313	0.0165	0.0811	0.0139	0.0013	0.0141	0.1275	0.008	0.0038	0.0927	0.0085	0.0569	-0.0028	0.0775
Locus36	0.0189	0.0679	0.0499	0.0581	0.0195	0.0792	0.0594	0.0761	0.0551	-0.0029	0.0627	0.0105	0.0557	0.0089	0.0283
Locus37	-0.0036	0.0691	0.1424	0.0745	0.1185	0.0392	0.1074	0.0333	0.069	0.0115	0.0018	0.0088	0.0383	0.0277	-0.0076
