Locus Pairwise estimates

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984

gst

Loci	sid98,  vs  sid75,	sid98,  vs  sid50,	sid98,  vs  sid1,	sid75,  vs  sid50,	sid75,  vs  sid1,	sid50,  vs  sid1,
MAL07-1225730	-0.0127	0.2883	0.0993	0.3059	0.1104	0.0571
MAL07-1314717	0.1164	0.0031	0.0986	0.139	-0.0054	0.1204
MAL07-1318034	0.1013	0.2031	0.1134	0.029	-0.0065	0.0277
MAL08-324349	0.2676	0.808	0.1665	0.3589	0.0134	0.5004
MAL08-329153	0.4757	0.5401	0.6183	-0.009	0.0127	-0.001
MAL08-414103	0.3658	0.022	0.5723	0.4992	0.037	0.6939
MAL08-415215	0.6381	0.142	0.8457	0.3062	0.063	0.5639
MAL08-418882	0.0324	0.6176	0.0013	0.5102	0.022	0.6052
MAL08-423288	0.0325	0.0503	-0.0018	-0.0038	0.0168	0.0314
MAL08-472454	0.5685	0.6557	0.6301	0.0122	0.0031	-9e-04
MAL08-477431	0.3734	0.7902	0.7997	0.195	0.207	-0.0046
MAL08-502175	0.3144	-0.0039	0.4628	0.2978	0.0166	0.4462
MAL08-506860	0.3144	-9e-04	0.4085	0.3512	4e-04	0.4451
MAL08-510277	-0.0029	-0.0024	-0.0021	-0.0097	-0.0074	-0.006
MAL08-550806	-0.0034	0.0907	0.2106	0.1363	0.1487	0.4751
MAL08-598974	0.0991	0.3367	0.2023	0.0898	0.0141	0.0284
MAL08-620258	0.6001	0.7833	0.7163	0.0459	0.0121	0.0051
MAL08-682727	0.3957	0.599	0.4732	0.0352	-0.0033	0.0121
MAL08-702678	0.0985	0.0398	0.06	0.0147	0.0029	-8e-04
MAL08-740413	-0.0099	0.3772	-0.0061	0.4266	-0.0018	0.3422
MAL08-753870	0.0596	0.1648	0.1396	0.0252	0.0132	-0.0015
MAL08-880658	0.1671	-0.0038	0.1352	0.1579	-0.0055	0.1267
MAL08-992462	0.0512	0.1359	0.0593	0.0122	-0.0072	0.0129
MAL08-998189	0.1967	0.0412	0.2185	0.0485	-0.0108	0.0647
MAL08-1113364	0.1604	0.1728	0.1077	-0.0115	-0.0015	0.0033
MAL08-1122713	0.2384	0.5479	0.0207	0.0999	0.1127	0.3912
MAL08-1191793	0.0174	-0.0075	-0.0048	0.0355	0.0036	0.0021
MAL08-1238679	0.2615	0.5308	0.3646	0.0726	0.0025	0.0242
MAL08-1249200	0.0806	0.0816	0.0697	NaN	2e-04	0.0011
MAL09-231063	0.0472	0.084	0.1747	0.2638	0.0308	0.4473
MAL09-265315	0.5459	0.0975	0.6371	0.2417	9e-04	0.3316
MAL09-478750	0.1252	0.4733	0.0053	0.1645	0.077	0.4089
MAL09-597888	-0.0045	0.01	0.0109	0.0065	0.0074	NaN
MAL09-634010	0.0231	-9e-04	0.0538	0.0431	-0.0029	0.0784
MAL09-917254	0.047	0.0126	0.0386	0.0115	-0.0039	0.0067
MAL09-1142293	0.0735	0.2354	0.1439	0.4919	0.008	0.5844
MAL09-1204316	0.0442	0.1946	0.1352	0.0561	0.0216	0.0014
MAL09-1206830	0.0025	0.0252	0.0262	0.0065	0.0074	NaN
MAL10-190158	0.1843	0.5921	0.4519	0.1781	0.0763	0.0188
MAL10-303698	0.1927	0.0021	0.4857	0.2332	0.1058	0.5264
MAL10-996032	0.009	0.1681	0.1185	0.0705	0.037	-0.003
MAL10-1047321	0.7122	0.7629	0.8119	-0.0029	0.0153	0.0018
MAL10-1228500	0.0092	0.01	0.011	NaN	NaN	NaN
MAL10-1281631	0.0029	0.2757	0.003	0.1881	0.037	0.3586
MAL10-1322020	0.0195	0.03	0.0184	-0.0041	-0.0041	-7e-04
MAL10-1389364	0.11	0.0789	0.1858	0.3339	-3e-04	0.4268
MAL10-1391783	0.0073	-0.004	0.0151	0.0123	-0.0034	0.0208
MAL10-1519672	0.0489	0.0022	0.047	0.0795	-0.0063	0.0766
MAL11-386092	-0.01	0.1895	0.0142	0.1814	0.0095	0.1011
MAL11-565294	-0.0048	0.5802	0.1699	0.6061	0.1927	0.1966
MAL11-593539	-0.0024	-0.0022	0.0729	0.0026	0.051	0.0878
MAL11-637435	0.0413	0.3225	0.2315	0.5335	0.0793	0.7639
MAL11-683964	0.1616	0.0156	-0.0031	0.0757	0.1587	0.0147
MAL11-753549	-0.0114	-0.0093	0.206	-0.0123	0.2191	0.2139
MAL11-773903	0.0322	0.141	-0.005	0.0402	0.0279	0.1328
MAL11-792549	0.1314	0.0237	0.06	0.2532	0.0063	0.159
MAL11-828595	0.1172	0.0728	0.1302	-0.0013	-0.0071	0.0052
MAL11-874947	0.361	-0.0038	0.4519	0.3732	-0.0011	0.4639
MAL11-920191	0.1044	0.0124	0.1296	0.0586	-0.0049	0.0816
MAL11-968080	-0.0038	0.0689	0.0572	0.0381	0.0901	0.2364
MAL11-987252	0.1086	0.0159	0.0898	0.0241	-0.0097	0.0162
MAL11-1020133	-0.0049	0.0805	0.0806	0.1105	0.1104	-0.0032
MAL11-1038073	0.0092	0.2477	0.0193	0.1399	-0.0085	0.1303
MAL11-1188633	-0.0096	0.0963	-0.0033	0.0935	-0.0055	0.1288
MAL11-1243997	7e-04	0.142	0.011	0.2122	-0.0086	0.2352
MAL11-1271589	0.2604	0.6445	0.2253	0.1714	-0.0072	0.2141
MAL11-1275603	0.2069	0.3865	0.2435	0.0284	-0.009	0.0183
MAL11-1295603	0.005	-0.0021	0.011	0.0133	0.0331	0.0047
MAL11-1321195	-0.0048	0.0064	0.0485	-0.0021	0.0318	0.0138
MAL11-1509521	0.0304	0.061	0.001	0.0065	0.012	0.0383
MAL11-1748611	0.3422	0.0474	0.3998	0.1402	-0.0055	0.1882
MAL11-1752891	0.7758	0.2498	0.8279	0.3061	-0.0029	0.375
MAL11-1791173	0.2651	0.0141	-0.0011	0.1852	0.2468	0.0065
MAL12-175811	0.2327	0.0107	0.4573	0.3539	0.0494	0.5849
MAL12-381783	0.005	-0.0037	0.0318	0.0023	0.0037	0.0273
MAL12-399322	0.1772	0.0468	0.0096	0.0329	0.0941	0.0058
MAL12-529412	0.4514	0.6316	0.3916	0.0299	-0.0045	0.0621
MAL12-646259	0.0283	0.038	0.0364	-0.0062	-0.0051	-0.0043
MAL12-698129	0.2096	0.5413	0.066	0.1443	0.0598	0.3588
MAL12-702015	0.0214	-0.0018	0.0048	0.0381	3e-04	0.0153
MAL12-726595	0.0024	-0.0032	0.0869	-0.0045	0.0477	0.0656
MAL12-802737	0.1076	0.6973	0.0954	0.3757	-0.0105	0.4024
MAL12-839896	0.2342	0.3695	0.4209	0.0175	0.0419	-1e-04
MAL12-857238	0.0128	0.0012	0.0509	0.0469	-0.0014	0.0981
MAL12-858494	-0.0082	-0.0062	0.013	-0.0082	0.0112	0.0066
MAL12-907255	0.0461	0.0124	-0.0041	0.1165	0.0423	0.0164
MAL12-943330	0.0788	0.0029	0.0752	0.0407	-0.0067	0.0385
MAL12-1078311	0.3975	0.4759	0.367	0.0187	-0.0022	0.0325
MAL12-1156125	0.0011	0.1866	0.0679	0.1077	0.0185	0.0299
MAL12-1212106	0.2779	0.5452	0.4771	0.071	0.0362	3e-04
MAL12-1214787	0.0371	0.4878	0.1057	0.2864	0.0059	0.1849
MAL12-1400880	0.1428	0.0019	0.2789	0.1808	0.0237	0.3205
MAL12-1598773	0.0829	0.369	0.1914	0.1099	0.0121	0.0342
MAL12-1761552	0.4506	0.7358	0.5189	0.1106	-0.0021	0.0738
MAL12-2046726	0.0361	0.4748	0.0132	0.2875	0.0998	0.5742
MAL12-2050164	0.1205	0.0893	0.1098	-0.0095	-0.0097	-0.0065
MAL12-2119221	0.0471	0.0332	0.2608	0.1632	0.0839	0.4244
MAL13-150118	0.0314	0.0308	-9e-04	0.135	0.0604	0.0128
MAL13-159660	0.1065	0.2119	0.1983	0.0329	0.0228	0.001
MAL13-353364	0.101	0.0145	0.5645	0.0244	0.2496	0.4258
MAL13-639415	0.0189	0.0145	0.475	-0.0101	0.3208	0.3406
MAL13-714924	-0.01	7e-04	-0.006	0.0056	-0.0062	-0.0013
MAL13-853413	-0.0063	0.1411	0.0165	0.0918	0.0392	0.2606
MAL13-942637	0.0091	-0.0037	0.0397	0.0119	0.0749	0.0331
MAL13-1013875	0.0105	0.1788	0.1073	0.0831	0.0322	0.0081
MAL13-1399233	0.0083	0.0252	0.1505	0.0626	0.08	0.2376
MAL13-1596183	-1e-04	0.1882	0.0244	0.2731	-0.0034	0.3405
MAL13-1661997	0.0358	0.2729	0.1354	0.472	0.0221	0.6255
MAL13-1709066	0.3796	0.6472	0.6401	0.0684	0.0658	-0.0066
MAL13-1716352	0.2044	0.004	0.0529	0.2719	0.0509	0.0991
MAL13-1777097	0.0907	0.1696	0.2995	0.456	0.0648	0.6984
MAL13-2383027	-0.0025	-0.002	0.018	0.0073	0.0031	0.0368
MAL13-2470584	0.0219	0.0781	0.1441	0.0072	0.0464	0.0085
MAL13-2477441	-0.0012	0.374	0.0589	0.2835	0.1102	0.6038
MAL13-2553416	0.103	-0.0037	0.5223	0.1214	0.2234	0.5462
MAL13-2672190	0.0286	0.0842	0.1356	0.0029	0.0288	0.0014
MAL13-2704604	0.1052	0.1032	0.3417	0.3662	0.0722	0.6302
MAL14-201791	0.6945	0.8252	0.8431	0.0235	0.0365	-0.0035
MAL14-221707	0.0572	0.8511	0.0577	0.6604	-0.0085	0.6664
MAL14-312693	0.0093	0.0101	0.0111	NaN	NaN	NaN
MAL14-334976	0.143	0.0313	0.2791	0.3098	0.0232	0.4639
MAL14-442134	-0.0054	0.5443	0.0309	0.4806	0.0068	0.363
MAL14-564339	0.046	0.0304	0.0857	-0.0093	-0.0044	0.006
MAL14-722436	0.0788	0.1261	0.2303	-0.0025	0.0438	0.0152
MAL14-832589	0.0629	0.0612	0.1134	-0.0066	0.0051	0.0079
MAL14-860816	0.0244	0.061	0.2899	0.1629	0.1439	0.4952
MAL14-911764	-0.0054	0.0905	0.081	0.1166	0.0524	0.2928
MAL14-1103685	0.0186	0.241	-0.0053	0.108	0.0106	0.217
MAL14-1106081	-0.0089	0.2356	-0.0048	0.2066	-0.0085	0.2093
MAL14-1161488	0.631	0.712	0.7402	-0.0035	0.0071	-0.0064
MAL14-1199721	0.0114	0.0574	-0.0059	0.0029	0.0241	0.0764
MAL14-1392975	-0.008	0.0828	0.0393	0.0664	0.0495	0.2239
MAL14-1405313	0.0718	0.031	0.5259	-0.0035	0.2587	0.3428
MAL14-1454903	0.0623	0.0155	0.0141	0.1535	0.0074	0.0748
MAL14-1482198	0.0706	0.0106	0.2582	0.0081	0.0547	0.1437
MAL14-1818960	0.2838	0.0111	0.2801	0.4082	-0.0042	0.404
MAL14-1903017	0.1214	0.0662	0.2423	0.351	0.0161	0.4968
MAL14-2181307	0.6003	0.455	0.5568	0.0116	-0.0084	0.0039
MAL14-2275535	0.1632	-0.0037	0.5732	0.1551	0.2128	0.5651
MAL14-2373291	0.1329	0.3413	0.361	0.0595	0.0726	-0.0032
MAL14-2536420	0.1357	0.0016	0.5185	0.1832	0.1814	0.5714
MAL14-2615028	0.2649	0.41	0.3808	0.0251	0.0139	-0.002
MAL14-2752309	-0.0025	0.0102	-0.0027	0.0187	-0.0031	0.0136
MAL14-2816701	0.0981	0.212	0.1438	0.0236	-7e-04	0.0078
MAL14-3009282	-0.0046	0.0078	-0.0019	0.0026	-0.0041	0.0028
MAL14-3017815	-0.0013	0.1421	0.0426	0.0725	0.0038	0.0236
MAL14-3043465	0.0022	0.2645	-0.0052	0.1817	0.0138	0.2967
MAL14-3124740	0.1802	0.1567	0.1995	-0.01	-0.0088	-0.0036
MAL14-3126540	0.3789	0.3911	0.5579	-0.0089	0.0342	0.0311

GGst

Loci	sid98,  vs  sid75,	sid98,  vs  sid50,	sid98,  vs  sid1,	sid75,  vs  sid50,	sid75,  vs  sid1,	sid50,  vs  sid1,
MAL01-145461	0.1117	0.2174	0.0444	0.0245	0.0107	0.0848
MAL01-167547	0.0824	0.0145	0.0221	0.1792	0.1929	-0.0065
MAL01-389906	-0.012	0.1329	-0.0019	0.0987	-0.011	0.0859
MAL02-131505	-0.017	0.3146	0.2133	0.3169	0.2148	0.0108
MAL02-194835	0.0609	0.5552	0.4554	0.3098	0.2119	0.0067
MAL02-255652	0.2327	0.3988	0.5243	0.0258	0.1106	0.0193
MAL02-290673	0.6567	0.8162	0.6017	0.0546	-0.0064	0.0992
MAL02-294544	-0.0094	0.2163	-0.0062	0.2626	6e-04	0.1885
MAL02-297021	0.6367	0.8028	0.5887	0.0534	-0.0079	0.0919
MAL02-322398	0.574	0.7067	0.4351	0.0222	0.0168	0.1106
MAL02-417203	0.0531	0.07	0.066	0.2301	-0.012	0.2455
MAL02-510210	0.1535	0.1543	0.6178	-0.0139	0.3005	0.3035
MAL02-514461	0.0321	-0.0114	0.3185	0.0415	0.1407	0.3374
MAL02-569613	0.0175	0.097	0.1037	0.015	0.0199	-0.0067
MAL02-608790	-0.0173	0.0762	0.196	0.0624	0.2059	0.4509
MAL02-660994	-0.0101	0.6271	0.0212	0.5853	0.038	0.7367
MAL02-680916	0.1555	0.2739	0.2203	0.0227	3e-04	0.0023
MAL02-723983	0.1498	0.5613	0.2283	0.2435	-0.0014	0.1813
MAL02-792270	0.0182	0.1131	0.1749	0.2345	0.0574	0.4546
MAL03-139623	-0.0021	0.033	0.0351	0.0588	0.0064	0.1146
MAL03-192822	0.1625	0.283	0.372	0.0041	0.0466	-3e-04
MAL03-355045	0.0168	0.1352	0.1521	0.0358	0.048	-0.0068
MAL03-666808	-0.0071	0.0371	0.1464	0.0108	0.1051	0.0381
MAL03-714600	0.004	0.6697	-0.0057	0.7155	0.0073	0.6662
MAL03-849722	0.0268	0.076	0.0777	0.0127	0.0144	NaN
MAL04-134941	0.3907	0.3557	0.4018	0.8546	-0.0077	0.8591
MAL04-163143	0.0482	0.0258	0.0042	-0.005	0.0243	0.0055
MAL04-193196	0.152	0.1822	0.2372	-0.0071	0.0183	0.0076
MAL04-273727	-0.0169	0.2557	0.0237	0.2706	0.0277	0.1202
MAL04-282592	0.0093	-0.004	0.0047	0.0245	0.0403	-0.0035
MAL04-307321	0.0131	0.008	0.0439	-0.0081	0.0028	0.0124
MAL04-342497	0.278	0.4198	0.1834	0.0128	0.0026	0.0716
MAL04-361423	0.1555	0.3155	0.0726	0.0223	0.0052	0.0963
MAL04-422595	-0.0148	0.1936	-0.0101	0.1545	-0.0122	0.1955
MAL04-441887	0.0754	0.0179	0.0788	0.0212	NaN	0.0247
MAL04-469608	0.0131	0.1453	0.0435	0.0893	0.0026	0.0481
MAL04-515294	0.1448	0.2684	0.0881	0.6139	-0.001	0.5416
MAL04-544408	-0.0117	0.0073	0.0011	-0.0023	-0.0063	-0.0073
MAL04-637111	0.6708	-0.0106	0.2661	0.6327	0.2152	0.224
MAL04-666150	0.2759	-0.0087	0.2716	0.2743	-0.0139	0.2699
MAL04-680633	0.1568	0.7785	0.0407	0.4504	0.0301	0.6276
MAL04-702725	0.0107	0.6734	0.0435	0.7424	0.1118	0.516
MAL04-755220	0.901	0.9932	0.968	0.2081	0.0532	0.0677
MAL04-772972	0.5754	0.0347	0.5198	0.3919	-0.0083	0.3348
MAL04-799238	0.4925	0.0531	0.1887	0.6864	0.1107	0.3934
MAL04-809686	0.6425	0.6549	0.6274	-0.0081	-0.0058	2e-04
MAL04-846290	0.0692	0.1235	0.0427	0.0126	-0.0022	0.0346
MAL04-872322	-0.0137	0.1307	0.3407	0.1493	0.3106	0.6472
MAL04-894155	0.0171	NaN	0.0691	0.0166	0.0128	0.0687
MAL04-895873	0.1505	0.045	0.1005	0.0214	-0.0048	0.0022
MAL04-915180	0.0594	0.0721	0.0266	-0.0096	0.0053	0.0142
MAL04-934434	0.3237	0.0985	0.1318	0.5941	0.0468	0.3906
MAL04-936350	0.2092	0.1307	0.322	0.5253	0.0026	0.6309
MAL04-991586	0.5399	-0.0094	0.3136	0.5098	0.0548	0.283
MAL04-994352	0.1161	0.0821	-0.004	0.362	0.0717	0.1304
MAL05-132132	0.2417	0.6905	0.4654	0.2449	0.053	0.0669
MAL05-144161	0.1859	-0.0075	0.2239	0.1959	-0.0097	0.2341
MAL05-192222	0.9002	0.8197	0.7631	0.0255	0.0735	0.0017
MAL05-329493	0.068	-0.0055	0.0754	0.0362	-0.0122	0.0434
MAL05-364227	0.2924	0.0653	0.2551	0.1108	-0.0094	0.083
MAL05-369684	0.4046	0.2653	0.5892	0.0178	0.0643	0.1634
MAL05-383150	0.038	0.0617	0.0334	-0.0087	-0.0086	-0.0019
MAL05-396039	0.5247	0.7777	0.6099	0.144	0.0018	0.0855
MAL05-426361	0.1155	1e-04	0.3396	0.1702	0.073	0.4014
MAL05-475275	0.4303	0.9104	0.4656	0.4049	-0.0138	0.3757
MAL05-622362	0.5039	0.9378	0.3272	0.4084	0.0332	0.5954
MAL05-668859	0.471	0.0326	0.7049	0.3406	0.0823	0.6023
MAL05-680743	0.1201	0.3858	0.2326	0.1111	0.0133	0.0395
MAL05-734299	0.0608	0.0398	0.2126	-0.0058	0.0714	0.1076
MAL05-796712	0.2544	0.0301	0.2056	0.3941	-0.009	0.3428
MAL05-798464	-0.0049	0.2349	2e-04	0.2998	-0.0123	0.3013
MAL05-831868	0.0142	0.4013	-0.0053	0.2526	0.0369	0.4479
MAL05-855820	0.5172	0.0349	0.7431	0.3235	0.0968	0.5842
MAL05-908821	0.3039	0.1136	0.6258	0.0473	0.1217	0.3263
MAL05-931601	0.0038	0.0967	0.285	0.1846	0.1728	0.5573
MAL05-1043649	0.5757	0.8866	0.4023	0.253	0.028	0.4137
MAL05-1188652	0.0418	0.468	-0.0063	0.2842	0.0197	0.4231
MAL05-1217046	0.6071	0.8564	0.6466	0.1267	-0.0116	0.1007
MAL06-148357	0.1092	0.0392	0.0874	0.0216	-0.0057	0.0095
MAL06-159081	0.6643	0.9229	0.9036	0.205	0.1613	-0.003
MAL06-182962	0.0228	0.1609	-0.0059	0.0373	0.0033	0.1168
MAL06-261657	0.0457	0.1416	0.0422	0.0062	-0.0143	0.0198
MAL06-312410	0.1507	0.7343	0.0607	0.4041	0.0123	0.544
MAL06-315729	NaN	NaN	0.1291	NaN	0.1269	0.1285
MAL06-327977	0.2284	0.6121	0.422	0.1815	0.0369	0.0511
MAL06-378824	0.1536	0.2631	0.2083	0.0245	-9e-04	0.0058
MAL06-404675	-0.0091	0.033	0.1402	0.0353	0.1296	0.233
MAL06-417465	0.08	0.1059	0.194	-0.0093	0.0427	0.0302
MAL06-510590	-0.0091	0.033	0.1504	0.0353	0.1397	0.2435
MAL06-581030	0.6547	0.7326	0.3404	0.0245	0.15	0.2588
MAL06-654198	-0.003	0.0459	-0.0015	0.0043	0.0251	0.0938
MAL06-909067	0.0503	-0.0027	0.0053	0.0226	0.0962	0.0221
MAL06-938236	0.3686	0.9282	0.3298	0.5178	-0.0116	0.5627
MAL07-178000	0.1836	0.0378	0.654	0.0409	0.2581	0.4703
MAL07-277102	0.2785	0.007	0.4696	0.3658	0.0363	0.5507
MAL07-281602	0.1389	-0.0071	0.0051	0.1309	0.1851	0.0076
MAL07-283525	0.0348	0.2888	0.1468	0.4695	0.019	0.6159
MAL07-537094	0.0278	0.0194	0.0544	0.0834	-0.0053	0.1137
MAL07-665556	0.0022	0.0759	0.0569	0.0353	0.0181	0.0021
MAL07-1122074	0.0046	0.047	0.0488	0.0127	0.0144	NaN
MAL07-1184520	0.3921	-0.008	0.268	0.4234	0.0081	0.2983
MAL07-1225730	-0.0169	0.3702	0.1312	0.39	0.1453	0.0831
MAL07-1314717	0.1839	0.0061	0.1592	0.2182	-0.0083	0.1934
MAL07-1318034	0.1529	0.3	0.1708	0.0533	-0.0117	0.0513
MAL08-324349	0.376	0.8737	0.2546	0.4391	0.0192	0.591
MAL08-329153	0.5708	0.6342	0.7078	-0.0123	0.0174	-0.0014
MAL08-414103	0.4565	0.0367	0.6651	0.604	0.0495	0.7796
MAL08-415215	0.7352	0.2153	0.9002	0.3823	0.0857	0.6534
MAL08-418882	0.0594	0.7211	0.0026	0.6139	0.0405	0.7092
MAL08-423288	0.053	0.0821	-0.0028	-0.0069	0.0282	0.0527
MAL08-472454	0.6662	0.75	0.7261	0.0219	0.0055	-0.0018
MAL08-477431	0.4607	0.8552	0.8627	0.2606	0.2762	-0.0073
MAL08-502175	0.415	-0.007	0.5698	0.3946	0.0221	0.5517
MAL08-506860	0.415	-0.0016	0.5152	0.4595	5e-04	0.5561
MAL08-510277	-0.0041	-0.0034	-0.003	-0.0143	-0.0109	-0.0088
MAL08-550806	-0.0049	0.1391	0.2717	0.2006	0.1939	0.5807
MAL08-598974	0.1348	0.441	0.2719	0.14	0.0218	0.0481
MAL08-620258	0.6882	0.8504	0.794	0.0702	0.0183	0.0083
MAL08-682727	0.4812	0.6872	0.5628	0.049	-0.0045	0.0173
MAL08-702678	0.1624	0.0721	0.1048	0.0243	0.0047	-0.0014
MAL08-740413	-0.0132	0.4739	-0.0082	0.5253	-0.0025	0.4364
MAL08-753870	0.0876	0.2404	0.2044	0.0428	0.0223	-0.0027
MAL08-880658	0.2446	-0.0071	0.2036	0.2316	-0.008	0.191
MAL08-992462	0.0716	0.1893	0.0828	0.0189	-0.0108	0.02
MAL08-998189	0.2534	0.0566	0.2796	0.064	-0.0144	0.0851
MAL08-1113364	0.2284	0.2441	0.1599	-0.016	-0.0022	0.0046
MAL08-1122713	0.3005	0.6403	0.028	0.1393	0.1465	0.4814
MAL08-1191793	0.0231	-0.0102	-0.0064	0.047	0.0048	0.0028
MAL08-1238679	0.3456	0.6288	0.4605	0.0951	0.0033	0.0322
MAL08-1249200	0.136	0.1377	0.118	NaN	5e-04	0.0021
MAL09-231063	0.0631	0.1101	0.2306	0.3306	0.044	0.5372
MAL09-265315	0.6374	0.135	0.7234	0.3046	0.0013	0.4098
MAL09-478750	0.1899	0.5823	0.0095	0.2152	0.1174	0.5112
MAL09-597888	-0.0086	0.0193	0.0211	0.0126	0.0144	NaN
MAL09-634010	0.0388	-0.0017	0.0867	0.0726	-0.0046	0.1262
MAL09-917254	0.0838	0.0242	0.0701	0.0205	-0.0068	0.0121
MAL09-1142293	0.1071	0.2978	0.2087	0.5883	0.0135	0.6826
MAL09-1204316	0.0735	0.2791	0.2036	0.0815	0.0325	0.0021
MAL09-1206830	0.0046	0.047	0.0488	0.0127	0.0144	NaN
MAL10-190158	0.2361	0.6824	0.5402	0.2385	0.1032	0.0281
MAL10-303698	0.2766	0.0039	0.5945	0.3316	0.1393	0.6371
MAL10-996032	0.0123	0.2162	0.1547	0.0925	0.0489	-0.004
MAL10-1047321	0.7902	0.8333	0.873	-0.0047	0.0248	0.003
MAL10-1228500	0.0177	0.0193	0.0211	NaN	NaN	NaN
MAL10-1281631	0.0041	0.381	0.0041	0.277	0.0509	0.4715
MAL10-1322020	0.0367	0.0554	0.0348	-0.0075	-0.0077	-0.0013
MAL10-1389364	0.1484	0.1224	0.2429	0.435	-5e-04	0.5326
MAL10-1391783	0.0135	-0.007	0.0277	0.0223	-0.0065	0.0377
MAL10-1519672	0.0809	0.0042	0.078	0.1308	-0.0101	0.1268
MAL11-386092	-0.0143	0.275	0.0207	0.2648	0.0139	0.159
MAL11-565294	-0.0082	0.6754	0.2364	0.7006	0.2673	0.2503
MAL11-593539	-0.0045	-0.0042	0.1191	0.0048	0.0837	0.1433
MAL11-637435	0.0581	0.3985	0.3202	0.624	0.1237	0.837
MAL11-683964	0.2347	0.0266	-0.0057	0.1108	0.2307	0.0252
MAL11-753549	-0.0157	-0.0127	0.2618	-0.0169	0.2775	0.2712
MAL11-773903	0.0499	0.2168	-0.0075	0.0701	0.0434	0.2059
MAL11-792549	0.1818	0.0394	0.0873	0.344	0.0087	0.2299
MAL11-828595	0.182	0.119	0.1998	-0.002	-0.0106	0.0079
MAL11-874947	0.4656	-0.007	0.5592	0.4799	-0.0015	0.5722
MAL11-920191	0.1707	0.0238	0.2059	0.0969	-0.0076	0.1311
MAL11-968080	-0.0058	0.108	0.0799	0.062	0.1261	0.3248
MAL11-987252	0.1422	0.0216	0.1185	0.0319	-0.013	0.0215
MAL11-1020133	-0.0074	0.1295	0.1295	0.1718	0.1716	-0.006
MAL11-1038073	0.0126	0.3351	0.0266	0.2026	-0.012	0.1903
MAL11-1188633	-0.014	0.1445	-0.0047	0.1405	-0.0079	0.1882
MAL11-1243997	0.001	0.214	0.0156	0.3022	-0.0121	0.3299
MAL11-1271589	0.3604	0.7408	0.3196	0.2198	-0.0101	0.2723
MAL11-1275603	0.276	0.4788	0.3196	0.0376	-0.0121	0.0242
MAL11-1295603	0.0093	-0.004	0.0211	0.0245	0.0607	0.0093
MAL11-1321195	-0.0079	0.0107	0.0824	-0.0036	0.0554	0.025
MAL11-1509521	0.0532	0.1062	0.0017	0.0127	0.0219	0.0696
MAL11-1748611	0.4205	0.0637	0.4843	0.1817	-0.0077	0.2418
MAL11-1752891	0.8453	0.3367	0.8855	0.3809	-0.0043	0.4597
MAL11-1791173	0.3694	0.026	-0.0022	0.2627	0.3454	0.0119
MAL12-175811	0.294	0.0153	0.5461	0.4355	0.0681	0.6738
MAL12-381783	0.0093	-0.007	0.0553	0.0042	0.0064	0.0475
MAL12-399322	0.2333	0.066	0.014	0.044	0.1251	0.0081
MAL12-529412	0.5392	0.7189	0.4754	0.0439	-0.0063	0.0891
MAL12-646259	0.0493	0.0653	0.0628	-0.0104	-0.0086	-0.0071
MAL12-698129	0.308	0.6535	0.1141	0.1894	0.0899	0.4536
MAL12-702015	0.0355	-0.0034	0.0082	0.0633	4e-04	0.0266
MAL12-726595	0.004	-0.0052	0.1456	-0.0076	0.0851	0.1135
MAL12-802737	0.1416	0.7796	0.1262	0.4721	-0.014	0.5005
MAL12-839896	0.3024	0.465	0.5236	0.0276	0.0664	-2e-04
MAL12-857238	0.0182	0.0018	0.0706	0.0671	-0.002	0.136
MAL12-858494	-0.0125	-0.0093	0.0191	-0.0124	0.0164	0.0096
MAL12-907255	0.068	0.0207	-0.0067	0.1719	0.0623	0.0271
MAL12-943330	0.1254	0.0053	0.1203	0.0648	-0.0103	0.0616
MAL12-1078311	0.5055	0.5924	0.4702	0.0353	-0.004	0.0597
MAL12-1156125	0.0015	0.2547	0.0935	0.1541	0.0263	0.046
MAL12-1212106	0.347	0.6368	0.5671	0.0998	0.0508	5e-04
MAL12-1214787	0.0531	0.5792	0.1449	0.3569	0.0081	0.2362
MAL12-1400880	0.2133	0.0036	0.3787	0.2678	0.033	0.4306
MAL12-1598773	0.1098	0.4504	0.245	0.1442	0.0161	0.0463
MAL12-1761552	0.5392	0.815	0.6104	0.1689	-0.0031	0.1172
MAL12-2046726	0.0551	0.5727	0.0226	0.3611	0.1526	0.6752
MAL12-2050164	0.1671	0.1263	0.1534	-0.013	-0.0132	-0.009
MAL12-2119221	0.0674	0.0533	0.3352	0.2323	0.1107	0.5275
MAL13-150118	0.0451	0.0489	-0.0014	0.1939	0.087	0.0209
MAL13-159660	0.1598	0.3109	0.2921	0.0603	0.0418	0.0021
MAL13-353364	0.1376	0.021	0.6545	0.0333	0.3149	0.5122
MAL13-639415	0.0278	0.0214	0.5672	-0.0145	0.397	0.4197
MAL13-714924	-0.0139	0.0011	-0.0084	0.0079	-0.0086	-0.0019
MAL13-853413	-0.0088	0.1829	0.0234	0.12	0.0547	0.3305
MAL13-942637	0.0175	-0.0071	0.068	0.0229	0.1275	0.0568
MAL13-1013875	0.0147	0.2496	0.1509	0.1243	0.048	0.0133
MAL13-1399233	0.0143	0.047	0.2208	0.1086	0.1182	0.3416
